Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-N7MS-0009-SM-5JK3E	-	-	Europe	Europe	0.08251	0.08652	0.00819	0.04680
GTEX-N7MT-0009-SM-5JK4X	-	-	Europe	Europe	0.08260	0.08634	0.00805	0.04663
GTEX-NFK9-0004-SM-5JK4Y	-	-	-	Africa	0.01546	0.08690	0.06671	0.06467
GTEX-NL3H-0009-SM-5JK37	-	-	-	Africa-Europe	0.02518	0.07535	0.05261	0.04969
GTEX-NL4W-0009-SM-5JK3O	-	-	-	Europe	0.08283	0.08760	0.00924	0.04787
GTEX-NPJ7-0009-SM-5JK4M	-	Europe	Europe	Europe	0.08138	0.08326	0.00514	0.04358
GTEX-NPJ8-0004-SM-5JK3D	-	-	Europe	Europe	0.08269	0.08692	0.00859	0.04720
GTEX-O5YT-0010-SM-5JK31	-	-	-	Europe	0.08242	0.08728	0.00889	0.04753
GTEX-O5YV-0004-SM-5JK2N	-	-	Europe	Europe	0.08206	0.08667	0.00828	0.04692
GTEX-O5YW-0003-SM-5JK2Y	-	Europe	Europe	Europe	0.07552	0.07691	0.00222	0.03707
GTEX-OHPK-0003-SM-5JK4Z	-	-	-	Africa	0.00912	0.09154	0.07947	0.07410
GTEX-OHPM-0003-SM-5JK4I	-	-	Europe	Europe	0.08202	0.08600	0.00764	0.04627
GTEX-OHPN-0004-SM-5JK2V	-	Europe	Europe	Europe	0.07930	0.08396	0.00563	0.04414
GTEX-OIZF-0004-SM-5JK4C	-	-	-	Europe	0.08283	0.08741	0.00906	0.04768
GTEX-OIZG-0003-SM-5JK3W	-	-	Europe	Europe	0.08215	0.08630	0.00794	0.04656
GTEX-OIZH-0003-SM-5JK41	-	Europe	Europe	Europe	0.07790	0.08056	0.00229	0.04075
GTEX-OIZI-1026-SM-5JK2X	-	-	Europe	Europe	0.08216	0.08573	0.00742	0.04601
GTEX-OOBK-0004-SM-5JK4J	-	-	Europe	Europe	0.08274	0.08702	0.00868	0.04730
GTEX-OXRK-0004-SM-5JK32	-	-	Europe	Europe	0.08287	0.08713	0.00880	0.04741
GTEX-OXRL-0003-SM-5JK3X	-	-	Europe	Europe	0.08291	0.08704	0.00873	0.04733
GTEX-OXRN-0003-SM-5JK51	-	-	Europe	Europe	0.08184	0.08579	0.00743	0.04605
GTEX-OXRO-0003-SM-5JK2R	-	Europe	Europe	Europe	0.07956	0.08310	0.00470	0.04332
GTEX-OXRP-0003-SM-5JK3P	-	Europe	Europe	Europe	0.07759	0.08113	0.00306	0.04130
GTEX-P44H-1126-SM-5JK39	-	-	-	Europe	0.08283	0.08722	0.00888	0.04750
GTEX-P4PP-0004-SM-5JK2S	-	-	Europe	Europe	0.08171	0.08568	0.00731	0.04594
GTEX-P4PQ-0003-SM-5JK3Q	-	-	Europe	Europe	0.08162	0.08644	0.00804	0.04667
GTEX-P4QR-0004-SM-5JK2Q	-	Europe	Europe	Europe	0.07818	0.07749	0.00140	0.03778
GTEX-P4QS-0003-SM-5JK4U	-	-	-	Africa	0.01193	0.08815	0.07111	0.06769
GTEX-P4QT-0003-SM-5JK2P	-	Europe	Europe	Europe	0.07728	0.07897	0.00087	0.03916
GTEX-P78B-0004-SM-5JK48	-	-	Europe	Europe	0.08164	0.08472	0.00642	0.04501
GTEX-PLZ4-0003-SM-5JK4H	-	Europe	Europe	Europe	0.07930	0.08270	0.00430	0.04291
GTEX-PLZ5-0003-SM-5JK3C	-	-	Europe	Europe	0.08251	0.08710	0.00873	0.04736
GTEX-PLZ6-0003-SM-5JK4W	-	-	Europe	Europe	0.08251	0.08690	0.00855	0.04717
GTEX-POMQ-0003-SM-5JK46	-	-	-	Africa	0.02458	0.08363	0.05619	0.05736
GTEX-POYW-1226-SM-5JK3K	-	-	Europe	Europe	0.08269	0.08711	0.00876	0.04738
GTEX-PSDG-0004-SM-5JK3L	-	-	Europe	Europe	0.08291	0.08685	0.00856	0.04714
GTEX-PVOW-1026-SM-5JK3V	-	-	Europe	Europe	0.08139	0.08595	0.00754	0.04618
GTEX-PW2O-0004-SM-5JK3M	-	-	Europe	Europe	0.07965	0.08612	0.00791	0.04627
GTEX-PWCY-0001-SM-5JK3J	-	-	Europe	Europe	0.08247	0.08680	0.00845	0.04707
GTEX-PWN1-0004-SM-5JK3S	-	-	Europe	Europe	0.08211	0.08620	0.00784	0.04646
GTEX-PWO3-0004-SM-5JK3T	-	-	Europe	Europe	0.08202	0.08581	0.00747	0.04608
GTEX-PWOO-0004-SM-5JK4A	-	-	-	Europe	0.08238	0.08737	0.00898	0.04762
GTEX-Q2AG-0003-SM-5JK4S	-	-	Europe	Europe	0.08269	0.08654	0.00824	0.04683
GTEX-Q2AH-0004-SM-5JK52	-	-	-	Africa	0.02080	0.08586	0.06107	0.06123
GTEX-Q2AI-0003-SM-5JK3F	-	-	Europe	Europe	0.08140	0.08518	0.00680	0.04543
GTEX-Q734-0001-SM-5JK3N	-	-	-	Europe	0.08314	0.08754	0.00921	0.04782
GTEX-QEG4-0003-SM-5URCG	-	-	Europe	Europe	0.08260	0.08653	0.00822	0.04682
GTEX-QEG5-0003-SM-5URCP	-	-	Europe	Europe	0.08238	0.08641	0.00808	0.04669
GTEX-QESD-0001-SM-5URC9	-	-	Europe	Europe	0.08247	0.08661	0.00827	0.04689
GTEX-QLQW-0001-SM-5URCU	-	-	-	Africa-Europe	0.04191	0.08075	0.03827	0.04760
GTEX-QMRM-0002-SM-5URC1	-	-	-	Europe	0.08350	0.08833	0.01000	0.04861
GTEX-QV31-0003-SM-5URDH	-	-	Europe	Europe	0.08238	0.08680	0.00843	0.04706
GTEX-QV44-0003-SM-5SOEM	-	-	Europe	Europe	0.08229	0.08641	0.00806	0.04668
