Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-N7MS-0009-SM-5JK3E	-	Europe	Europe	Europe	0.08014	0.08227	0.00235	0.04091
GTEX-N7MT-0009-SM-5JK4X	-	Europe	Europe	Europe	0.08068	0.08487	0.00460	0.04347
GTEX-NFK9-0004-SM-5JK4Y	-	-	Africa	Africa	0.01337	0.08149	0.06538	0.06015
GTEX-NL3H-0009-SM-5JK37	-	-	Europe	Europe	0.06839	0.08333	0.01249	0.04234
GTEX-NL4W-0009-SM-5JK3O	-	Europe	Europe	Europe	0.07854	0.07827	0.00250	0.03693
GTEX-NPJ7-0009-SM-5JK4M	-	Europe	Europe	Europe	0.07554	0.07327	0.00703	0.03188
GTEX-NPJ8-0004-SM-5JK3D	-	Europe	Europe	Europe	0.08121	0.08778	0.00751	0.04634
GTEX-O5YT-0010-SM-5JK31	-	Europe	Europe	Europe	0.07833	0.08626	0.00662	0.04478
GTEX-O5YV-0004-SM-5JK2N	-	Europe	Europe	Europe	0.07986	0.08047	0.00187	0.03916
GTEX-O5YW-0003-SM-5JK2Y	-	Europe	Europe	Europe	0.07405	0.07737	0.00428	0.03589
GTEX-OHPK-0003-SM-5JK4Z	-	Africa	Africa	Africa	0.00887	0.08097	0.06937	0.06202
GTEX-OHPM-0003-SM-5JK4I	-	Europe	Europe	Europe	0.08078	0.08417	0.00400	0.04279
GTEX-OHPN-0004-SM-5JK2V	-	Europe	Europe	Europe	0.07630	0.07547	0.00483	0.03407
GTEX-OIZF-0004-SM-5JK4C	-	Europe	Europe	Europe	0.07890	0.07718	0.00392	0.03591
GTEX-OIZG-0003-SM-5JK3W	-	Europe	Europe	Europe	0.07315	0.07743	0.00504	0.03595
GTEX-OIZH-0003-SM-5JK41	-	Europe	Europe	Europe	0.08038	0.07880	0.00360	0.03760
GTEX-OIZI-1026-SM-5JK2X	-	Europe	Europe	Europe	0.07726	0.07928	0.00111	0.03785
GTEX-OOBK-0004-SM-5JK4J	-	Europe	Europe	Europe	0.07894	0.07520	0.00607	0.03403
GTEX-OXRK-0004-SM-5JK32	-	Europe	Europe	Europe	0.08156	0.08397	0.00417	0.04265
GTEX-OXRL-0003-SM-5JK3X	-	Europe	Europe	Europe	0.07569	0.08117	0.00323	0.03969
GTEX-OXRN-0003-SM-5JK51	-	Europe	Europe	Europe	0.07844	0.07867	0.00200	0.03731
GTEX-OXRO-0003-SM-5JK2R	-	Europe	Europe	Europe	0.07582	0.07588	0.00444	0.03445
GTEX-OXRP-0003-SM-5JK3P	-	Europe	Europe	Europe	0.07583	0.07932	0.00228	0.03785
GTEX-P44H-1126-SM-5JK39	-	Europe	Europe	Europe	0.08181	0.08487	0.00491	0.04354
GTEX-P4PP-0004-SM-5JK2S	-	Europe	Europe	Europe	0.07596	0.07689	0.00350	0.03544
GTEX-P4PQ-0003-SM-5JK3Q	-	Europe	Europe	Europe	0.07954	0.08287	0.00259	0.04146
GTEX-P4QR-0004-SM-5JK2Q	-	-	Europe	Europe	0.07502	0.07077	0.00955	0.02940
GTEX-P4QS-0003-SM-5JK4U	-	-	-	Africa	0.02750	0.08245	0.05273	0.05435
GTEX-P4QT-0003-SM-5JK2P	-	Europe	Europe	Europe	0.08222	0.08587	0.00582	0.04453
GTEX-P78B-0004-SM-5JK48	-	Europe	Europe	Europe	0.08083	0.08337	0.00341	0.04202
GTEX-PLZ4-0003-SM-5JK4H	-	Europe	Europe	Europe	0.07692	0.07788	0.00243	0.03645
GTEX-PLZ5-0003-SM-5JK3C	-	Europe	Europe	Europe	0.08205	0.08280	0.00402	0.04156
GTEX-PLZ6-0003-SM-5JK4W	-	Europe	Europe	Europe	0.07550	0.07579	0.00458	0.03434
GTEX-POMQ-0003-SM-5JK46	-	Africa	Africa	Africa	0.00235	0.08436	0.07644	0.06803
GTEX-POYW-1226-SM-5JK3K	-	Europe	Europe	Europe	0.08346	0.08629	0.00663	0.04502
GTEX-PSDG-0004-SM-5JK3L	-	Europe	Europe	Europe	0.07726	0.07627	0.00414	0.03490
GTEX-PVOW-1026-SM-5JK3V	-	Europe	Europe	Europe	0.08212	0.08567	0.00563	0.04433
GTEX-PW2O-0004-SM-5JK3M	-	Europe	Europe	Europe	0.08024	0.08467	0.00438	0.04326
GTEX-PWCY-0001-SM-5JK3J	-	Europe	Europe	Europe	0.07737	0.07587	0.00460	0.03452
GTEX-PWN1-0004-SM-5JK3S	-	Europe	Europe	Europe	0.07981	0.08077	0.00173	0.03944
GTEX-PWO3-0004-SM-5JK3T	-	Europe	Europe	Europe	0.07855	0.08228	0.00205	0.04084
GTEX-PWOO-0004-SM-5JK4A	-	Europe	Europe	Europe	0.07912	0.08237	0.00208	0.04096
GTEX-Q2AG-0003-SM-5JK4S	-	Europe	Europe	Europe	0.07898	0.08187	0.00159	0.04046
GTEX-Q2AH-0004-SM-5JK52	-	Africa	Africa	Africa	0.00279	0.08513	0.08090	0.07102
GTEX-Q2AI-0003-SM-5JK3F	-	-	-	Europe	0.08544	0.09508	0.01478	0.05364
GTEX-Q734-0001-SM-5JK3N	-	Europe	Europe	Europe	0.08009	0.08217	0.00226	0.04081
GTEX-QEG4-0003-SM-5URCG	-	Europe	Europe	Europe	0.07865	0.07787	0.00300	0.03656
GTEX-QEG5-0003-SM-5URCP	-	Europe	Europe	Europe	0.07779	0.08311	0.00333	0.04164
GTEX-QESD-0001-SM-5URC9	-	Europe	Europe	Europe	0.07740	0.07617	0.00428	0.03482
