Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
TCGA-2V-A95S-10D-01D-A370-10	-	East_Asia	East_Asia	East_Asia	0.07759	0.00169	0.06507	0.04171
TCGA-2Y-A9GS-10A-01D-A385-10	-	-	-	South_Asia	0.06567	0.05854	0.01121	0.01534
TCGA-2Y-A9GT-10A-01D-A385-10	-	Europe	Europe	Europe	0.07827	0.06997	0.00360	0.02775
TCGA-2Y-A9GU-10A-01D-A385-10	-	Europe	Europe	Europe	0.07663	0.06912	0.00247	0.02664
TCGA-2Y-A9GV-10A-01D-A385-10	-	Europe	Europe	Europe	0.07806	0.06926	0.00301	0.02708
TCGA-2Y-A9GW-10A-01D-A385-10	-	Europe	Europe	Europe	0.07771	0.06877	0.00251	0.02657
TCGA-2Y-A9GX-10A-01D-A385-10	-	Europe	Europe	Europe	0.07820	0.06935	0.00314	0.02719
TCGA-2Y-A9GY-10A-01D-A385-10	-	Europe	Europe	Europe	0.07648	0.06968	0.00306	0.02711
TCGA-2Y-A9GZ-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07755	0.06847	0.00224	0.02628
TCGA-2Y-A9H0-10A-01D-A385-10	-	-	-	South_Asia	0.06183	0.05684	0.01508	0.01410
TCGA-2Y-A9H1-10A-01D-A385-10	-	Europe	Europe	Europe	0.07707	0.06874	0.00219	0.02640
TCGA-2Y-A9H2-10A-01D-A385-10	-	Europe	Europe	Europe	0.07790	0.07012	0.00359	0.02780
TCGA-2Y-A9H3-10A-01D-A385-10	-	-	-	Europe	0.06693	0.05974	0.00966	0.01653
TCGA-2Y-A9H4-10A-01D-A385-10	-	-	Africa	Africa	0.00437	0.07543	0.07125	0.06050
TCGA-2Y-A9H5-10A-01D-A385-10	-	Europe	Europe	Europe	0.07806	0.06926	0.00301	0.02708
TCGA-2Y-A9H6-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07884	0.07054	0.00426	0.02838
TCGA-2Y-A9H7-10A-01D-A38X-10	-	-	Europe	Europe	0.07867	0.07088	0.00445	0.02864
