Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
TCGA-2V-A95S-10D-01D-A370-10	-	East_Asia	East_Asia	East_Asia	0.07874	0.00199	0.06516	0.04287
TCGA-2Y-A9GS-10A-01D-A385-10	-	Europe	Europe	Europe	0.07380	0.06481	0.00184	0.02150
TCGA-2Y-A9GT-10A-01D-A385-10	-	Europe	Europe	Europe	0.07572	0.06784	0.00158	0.02462
TCGA-2Y-A9GU-10A-01D-A385-10	-	Europe	Europe	Europe	0.07886	0.07147	0.00535	0.02850
TCGA-2Y-A9GV-10A-01D-A385-10	-	Europe	Europe	Europe	0.07747	0.06699	0.00209	0.02427
TCGA-2Y-A9GW-10A-01D-A385-10	-	Europe	Europe	Europe	0.07545	0.06459	0.00189	0.02167
TCGA-2Y-A9GX-10A-01D-A385-10	-	Europe	Europe	Europe	0.07764	0.06939	0.00327	0.02640
TCGA-2Y-A9GY-10A-01D-A385-10	-	Europe	Europe	Europe	0.07553	0.07066	0.00475	0.02718
TCGA-2Y-A9GZ-10A-01D-A38X-10	-	Europe	Europe	Europe	0.08024	0.07091	0.00559	0.02835
TCGA-2Y-A9H0-10A-01D-A385-10	-	-	-	Europe	0.06573	0.05849	0.01088	0.01471
TCGA-2Y-A9H1-10A-01D-A385-10	-	Europe	Europe	Europe	0.07846	0.06607	0.00349	0.02379
TCGA-2Y-A9H2-10A-01D-A385-10	-	Europe	Europe	Europe	0.07687	0.07142	0.00519	0.02808
TCGA-2Y-A9H3-10A-01D-A385-10	-	-	South_Asia	South_Asia	0.06402	0.05376	0.01498	0.01008
TCGA-2Y-A9H4-10A-01D-A385-10	-	Africa	Africa	Africa	0.00606	0.07177	0.07210	0.06028
TCGA-2Y-A9H5-10A-01D-A385-10	-	Europe	Europe	Europe	0.07996	0.07073	0.00532	0.02812
TCGA-2Y-A9H6-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07839	0.06826	0.00310	0.02560
TCGA-2Y-A9H7-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07775	0.06717	0.00236	0.02450
TCGA-2Y-A9H8-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07853	0.06835	0.00324	0.02572
TCGA-2Y-A9H9-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07826	0.06817	0.00296	0.02549
TCGA-2Y-A9HA-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07610	0.06768	0.00139	0.02455
TCGA-2Y-A9HB-10A-01D-A38X-10	-	-	-	South_Asia	0.04983	0.05566	0.02629	0.01873
TCGA-3K-AAZ8-10A-01D-A38X-10	-	-	Africa	Africa	0.01125	0.07542	0.06512	0.05668
TCGA-4R-AA8I-10B-01D-A385-10	-	Europe	Europe	Europe	0.07920	0.07302	0.00680	0.02995
TCGA-5C-A9VG-10A-01D-A370-10	-	Europe	Europe	Europe	0.07770	0.06447	0.00380	0.02223
TCGA-5C-A9VH-10A-01D-A370-10	-	Europe	Europe	Europe	0.07614	0.06598	0.00101	0.02306
TCGA-5C-AAPD-10A-01D-A38X-10	-	East_Asia	East_Asia	East_Asia	0.07826	0.00227	0.06452	0.04221
TCGA-5R-AA1C-10A-01D-A40U-10	-	-	Europe	Europe	0.07079	0.05923	0.00742	0.01579
TCGA-5R-AA1D-10A-01D-A385-10	-	Europe	Europe	Europe	0.07674	0.06570	0.00184	0.02297
TCGA-5R-AAAM-10A-01D-A40U-10	-	Europe	Europe	Europe	0.07658	0.06910	0.00281	0.02593
TCGA-BC-4073-10A-01D-A12Z-10	-	-	-	Europe	0.05734	0.06471	0.01848	0.02295
TCGA-BC-A10Q-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07725	0.06849	0.00243	0.02552
TCGA-BC-A10R-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07453	0.06534	0.00108	0.02213
TCGA-BC-A10S-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07665	0.06477	0.00255	0.02215
TCGA-BC-A10T-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07568	0.06561	0.00092	0.02262
TCGA-BC-A10U-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07534	0.07048	0.00463	0.02699
TCGA-BC-A10W-11A-11D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07736	0.00124	0.06506	0.04261
TCGA-BC-A10X-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07848	0.07269	0.00641	0.02952
TCGA-BC-A10Y-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07864	0.07203	0.00580	0.02895
TCGA-BC-A10Z-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07789	0.06271	0.00560	0.02090
TCGA-BC-A110-11A-11D-A12Z-10	-	-	-	Africa	0.02095	0.09720	0.09464	0.08567
TCGA-BC-A112-11A-11D-A12Z-10	-	Europe	Europe	Europe	0.07603	0.07091	0.00483	0.02748
TCGA-BC-A216-11A-11D-A152-10	-	Europe	Europe	Europe	0.07834	0.06868	0.00321	0.02595
TCGA-BC-A217-10A-01D-A152-10	-	Europe	Europe	Europe	0.07717	0.06639	0.00192	0.02368
TCGA-BC-A3KF-10A-01D-A20W-10	-	-	Europe	Europe	0.06848	0.06119	0.00749	0.01740
TCGA-BC-A3KG-10A-01D-A20W-10	-	Europe	Europe	Europe	0.07508	0.06643	0.00042	0.02322
TCGA-BC-A5W4-10A-01D-A28X-10	-	Europe	Europe	Europe	0.07753	0.06782	0.00226	0.02501
TCGA-BC-A69H-10A-01D-A30V-10	-	Europe	Europe	Europe	0.07795	0.07031	0.00412	0.02728
TCGA-BC-A69I-10A-01D-A30V-10	-	Europe	Europe	Europe	0.07806	0.07083	0.00460	0.02776
TCGA-BC-A8YO-10A-01D-A370-10	-	Europe	Europe	Europe	0.07629	0.06554	0.00152	0.02271
TCGA-BD-A2L6-11A-21D-A20W-10	-	Europe	Europe	Europe	0.07337	0.06317	0.00325	0.01993
TCGA-BD-A3EP-11A-12D-A22F-10	-	-	-	Africa	0.02081	0.07885	0.05927	0.05427
TCGA-BD-A3ER-11A-11D-A20W-10	-	Europe	Europe	Europe	0.07732	0.06996	0.00369	0.02684
TCGA-BW-A5NO-10A-01D-A27I-10	-	-	Africa	Africa	0.00846	0.06952	0.07181	0.05925
TCGA-BW-A5NP-10A-01D-A27I-10	-	South_Asia	South_Asia	South_Asia	0.06904	0.04297	0.02333	0.00426
TCGA-BW-A5NQ-10A-01D-A27I-10	-	Europe	Europe	Europe	0.07695	0.06895	0.00270	0.02586
TCGA-CC-5258-10A-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07479	0.00559	0.06074	0.03822
TCGA-CC-5259-10A-01D-A20W-10	-	East_Asia	East_Asia	East_Asia	0.08057	0.00381	0.06993	0.04755
TCGA-CC-5260-10B-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.08181	0.00533	0.07132	0.04900
TCGA-CC-5261-10A-01D-A12Z-10	-	-	East_Asia	East_Asia	0.07347	0.00678	0.05974	0.03712
TCGA-CC-5262-10B-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07755	0.00212	0.06804	0.04543
TCGA-CC-5263-10B-01D-A12Z-10	-	-	East_Asia	East_Asia	0.07338	0.00706	0.05944	0.03682
TCGA-CC-5264-10A-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07601	0.00180	0.06558	0.04295
TCGA-CC-A123-10A-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07880	0.00247	0.06875	0.04624
TCGA-CC-A1HT-10A-01D-A12Z-10	-	East_Asia	East_Asia	East_Asia	0.07614	0.00302	0.06329	0.04079
TCGA-CC-A3M9-10A-01D-A20W-10	-	East_Asia	East_Asia	East_Asia	0.07698	0.00092	0.06626	0.04369
TCGA-CC-A3MA-10A-01D-A20W-10	-	East_Asia	East_Asia	East_Asia	0.08061	0.00294	0.06844	0.04617
TCGA-CC-A3MB-10A-01D-A20W-10	-	East_Asia	East_Asia	East_Asia	0.07552	0.00556	0.06073	0.03831
TCGA-CC-A3MC-10A-01D-A22F-10	-	East_Asia	East_Asia	East_Asia	0.07441	0.00365	0.06360	0.04090
TCGA-CC-A5UC-10A-01D-A28X-10	-	East_Asia	East_Asia	East_Asia	0.07529	0.00315	0.06349	0.04088
TCGA-CC-A5UD-10A-01D-A28X-10	-	-	East_Asia	East_Asia	0.07461	0.00618	0.06015	0.03764
