Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
TCGA-2V-A95S-10D-01D-A370-10	-	East_Asia	East_Asia	East_Asia	0.08020	0.00346	0.06924	0.03687
TCGA-2Y-A9GS-10A-01D-A385-10	-	Europe	Europe	Europe	0.06883	0.05912	0.00902	0.02478
TCGA-2Y-A9GT-10A-01D-A385-10	-	Europe	Europe	Europe	0.07649	0.06886	0.00193	0.03471
TCGA-2Y-A9GU-10A-01D-A385-10	-	Europe	Europe	Europe	0.07663	0.06835	0.00143	0.03424
TCGA-2Y-A9GV-10A-01D-A385-10	-	Europe	Europe	Europe	0.07656	0.06696	8e-04	0.03291
TCGA-2Y-A9GW-10A-01D-A385-10	-	Europe	Europe	Europe	0.07597	0.06725	0.00032	0.03313
TCGA-2Y-A9GX-10A-01D-A385-10	-	Europe	Europe	Europe	0.07673	0.06996	0.00306	0.03579
TCGA-2Y-A9GY-10A-01D-A385-10	-	Europe	Europe	Europe	0.07753	0.07015	0.00323	0.03605
TCGA-2Y-A9GZ-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07501	0.06336	0.00365	0.02932
TCGA-2Y-A9H0-10A-01D-A385-10	-	South_Asia	South_Asia	South_Asia	0.06411	0.03130	0.03626	0.00377
TCGA-2Y-A9H1-10A-01D-A385-10	-	-	Europe	Europe	0.08028	0.07756	0.01065	0.04337
TCGA-2Y-A9H2-10A-01D-A385-10	-	Europe	Europe	Europe	0.08085	0.07349	0.00691	0.03954
TCGA-2Y-A9H3-10A-01D-A385-10	-	-	Europe-South_Asia	Europe-South_Asia	0.07285	0.05527	0.01175	0.02139
TCGA-2Y-A9H4-10A-01D-A385-10	-	Africa	Africa	Africa	0.00471	0.08127	0.07989	0.07059
TCGA-2Y-A9H5-10A-01D-A385-10	-	Europe	Europe	Europe	0.07895	0.06978	0.00351	0.03584
TCGA-2Y-A9H6-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07929	0.07276	0.00589	0.03869
TCGA-2Y-A9H7-10A-01D-A38X-10	-	Europe	Europe	Europe	0.06998	0.06739	0.00661	0.03307
TCGA-2Y-A9H8-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07838	0.06848	0.00259	0.03455
TCGA-2Y-A9H9-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07761	0.06688	0.00200	0.03295
TCGA-2Y-A9HA-10A-01D-A38X-10	-	Europe	Europe	Europe	0.07475	0.06566	0.00142	0.03149
