Sample,All Autosomes,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr X
TCGA-2Y-A9GS-10A-01D-A385-10,South_Asia,South_Asia,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,South_Asia,Europe,South_Asia,South_Asia,Europe-South_Asia,South_Asia,Europe,South_Asia,Europe,Europe-South_Asia,Europe,South_Asia,Europe,South_Asia,Europe
TCGA-2Y-A9H0-10A-01D-A385-10,South_Asia,South_Asia,Europe,South_Asia,Europe,South_Asia,South_Asia,Europe,Europe,Africa-Europe,South_Asia,Europe,South_Asia,Europe,South_Asia,Europe,South_Asia,Europe,Europe,South_Asia,Europe,South_Asia,Europe,South_Asia
TCGA-2Y-A9H3-10A-01D-A385-10,Europe,Europe,Europe,South_Asia,Europe,South_Asia,South_Asia,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,South_Asia,Europe,Europe,Europe-South_Asia,Europe,Europe,Europe-South_Asia
TCGA-2Y-A9HB-10A-01D-A38X-10,South_Asia,Africa-Europe,South_Asia,South_Asia,Africa-Europe,Europe,South_Asia,South_Asia,South_Asia,South_Asia,South_Asia,South_Asia,Europe,South_Asia,South_Asia,South_Asia,Africa-South_Asia,South_Asia,Europe,Europe,South_Asia,South_Asia,South_Asia,Africa-Europe
TCGA-3K-AAZ8-10A-01D-A38X-10,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe,Africa,Africa,Africa,Africa,Africa
TCGA-5R-AA1C-10A-01D-A40U-10,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe-South_Asia,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe-South_Asia,Europe,Europe,South_Asia
TCGA-5R-AAAM-10A-01D-A40U-10,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe
TCGA-BC-4073-10A-01D-A12Z-10,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,South_Asia,Europe,Europe,Europe,Africa-Europe,Europe,Europe,Europe
TCGA-BC-A10Y-11A-11D-A12Z-10,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe
TCGA-BC-A110-11A-11D-A12Z-10,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-Europe
TCGA-BC-A3KF-10A-01D-A20W-10,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe
TCGA-BD-A3ER-11A-11D-A20W-10,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,South_Asia,Europe,Europe,Europe,South_Asia,Europe,Europe
TCGA-BW-A5NO-10A-01D-A27I-10,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa-South_Asia
